Make,Model,Variant,Ex-Showroom_Price (in Rupees),Displacement(in cc),Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity(in Litres),Fuel_Type,Height(in mm),Length(in mm),Width(in mm),Body_Type,Doors,City_Mileage,Highway_Mileage,ARAI_Certified_Mileage,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Front_Tyre_&_Rim,Rear_Tyre_&_Rim,Power_Steering,Power_Windows,Keyless_Entry,Power,Torque,Odometer,Speedometer,Tachometer,Tripmeter,Seating_Capacity,Seats_Material,Type,Wheelbase(in mm),Wheels_Size,Start_/_Stop_Button,12v_Power_Outlet,Audiosystem,Aux-in_Compatibility,Average_Fuel_Consumption,Basic_Warranty,Bluetooth,Boot-lid_Opener,Boot_Space(in),CD_/_MP3_/_DVD_Player,Central_Locking,Child_Safety_Locks,Clock,Cup_Holders,Distance_to_Empty,Door_Pockets,Engine_Malfunction_Light,Extended_Warranty,FM_Radio,Fuel-lid_Opener,Fuel_Gauge,Handbrake,Instrument_Console,Low_Fuel_Warning,Minimum_Turning_Radius,Multifunction_Display,Sun_Visor,Ventilation_System,Auto-Dimming_Rear-View_Mirror,Hill_Assist,Gear_Indicator,Ambient_Lightning,Cargo/Boot_Lights,Engine_Immobilizer,High_Speed_Alert_System,Lane_Watch_Camera/_Side_Mirror_Camera,Passenger_Side_Seat-Belt_Reminder,Seat_Back_Pockets,Voice_Recognition,ABS_(Anti-lock_Braking_System),Headlight_Reminder,Adjustable_Headrests,Gross_Vehicle_Weight(in Kg),Airbags,Door_Ajar_Warning,EBD_(Electronic_Brake-force_Distribution),Fasten_Seat_Belt_Warning,Gear_Shift_Reminder,Number_of_Airbags,Key_Off_Reminder,USB_Compatibility,Android_Auto,Apple_CarPlay,Cigarette_Lighter,EBA_(Electronic_Brake_Assist),Seat_Height_Adjustment,Navigation_System,Second_Row_AC_Vents,Tyre_Pressure_Monitoring_System,iPod_Compatibility,ESP_(Electronic_Stability_Program),Cooled_Glove_Box,Turbocharger,ISOFIX_(Child-Seat_Mount),Rain_Sensing_Wipers,Paddle_Shifters,ASR_/_Traction_Control,Cruise_Control,USB_Ports
Tata,Tiago,Revotron Xt,520000,1199,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,35,Petrol,1535,3746,1647,Hatchback,5,23.84 km/litre,23 km/litre,23 km/litre,5,170 mm,Ventilated Disc,Drum,"Independent, Lower Wishbone, Mcpherson Strut with coil spring",Semi-Independent; Twist beam with dual path strut,175/65 R14,175/65 R14,Electric Power,All Windows,Remote,86PS@6000rpm,114NM@3300rpm,Digital,Analog,Analog,2,5,Fabric,Manual,2400,175/65 R14,No,Yes,CD Player with USB & Aux-in,Yes,Yes,"2 Years / 75,000 KM (whichever is earlier)",Yes,"With Remote, Internal",242,Yes,Yes,Yes,Digital,Front,Yes,Front & Rear,Yes,"2 years + 1 year (3rd year extended warranty up to 75,000km) or 2 years + 2 years (3rd and 4th year extended warranty up to 1,00,000 kms).",Yes,"Internal, With Remote",Analog,Manual,Analog + Digital,Yes,4.9 meter,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Front Row,2510,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2,Yes,Yes,No,No,Yes,No,Manual Adjustment,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,1
Tata,Tiago,Revotron Xz,570000,1199,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,35,Petrol,1535,3746,1647,Hatchback,5,23.84 km/litre,23 km/litre,23 km/litre,5,170 mm,Ventilated Disc,Drum,"Independent, Lower Wishbone, Mcpherson Strut with coil spring",Semi-Independent; Twist beam with dual path strut,175/65 R14,175/65 R14,Electric Power,All Windows,Remote,86PS@6000rpm,114NM@3300rpm,Digital,Analog,Analog,2,5,Fabric,Manual,2400,175/65 R14,No,Yes,CD Player with USB & Aux-in,Yes,Yes,"2 Years / 75,000 KM (whichever is earlier)",Yes,"With Remote, Internal",242,Yes,Yes,Yes,Digital,Front,Yes,Front & Rear,Yes,"2 years + 1 year (3rd year extended warranty up to 75,000km) or 2 years + 2 years (3rd and 4th year extended warranty up to 1,00,000 kms).",Yes,"Internal, With Remote",Analog,Manual,Analog + Digital,Yes,4.9 meter,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Front Row,2510,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2,Yes,Yes,No,No,Yes,No,Manual Adjustment,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,1
Tata,Tiago,Revotron Xz Plus,599000,1199,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,35,Petrol,1535,3746,1647,Hatchback,5,23.84 km/litre,23 km/litre,23 km/litre,5,170 mm,Ventilated Disc,Drum,"Independent, Lower Wishbone, Mcpherson Strut with coil spring",Semi-Independent; Twist beam with dual path strut,175/65 R14,175/65 R14,Electric Power,All Windows,Remote,86PS@6000rpm,114NM@3300rpm,Digital,Analog,Analog,2,5,Fabric,Manual,2400,175/65 R14,No,Yes,CD Player with USB & Aux-in,Yes,Yes,"2 Years / 75,000 KM (whichever is earlier)",Yes,"With Remote, Internal",242,Yes,Yes,Yes,Digital,Front,Yes,Front & Rear,Yes,"2 years + 1 year (3rd year extended warranty up to 75,000km) or 2 years + 2 years (3rd and 4th year extended warranty up to 1,00,000 kms).",Yes,"Internal, With Remote",Analog,Manual,Analog + Digital,Yes,4.9 meter,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Front Row,2510,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2,Yes,Yes,Yes,Yes,Yes,No,Manual Adjustment,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,1
Tata,Tiago,Revotron Xz Plus Dual Tone,610000,1199,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,35,Petrol,1535,3746,1647,Hatchback,5,23.84 km/litre,23 km/litre,23 km/litre,5,170 mm,Ventilated Disc,Drum,"Independent, Lower Wishbone, Mcpherson Strut with coil spring",Semi-Independent; Twist beam with dual path strut,175/65 R14,175/65 R14,Electric Power,All Windows,Remote,86PS@6000rpm,114NM@3300rpm,Digital,Analog,Analog,2,5,Fabric,Manual,2400,175/65 R14,No,Yes,CD Player with USB & Aux-in,Yes,Yes,"2 Years / 75,000 KM (whichever is earlier)",Yes,"With Remote, Internal",242,Yes,Yes,Yes,Digital,Front,Yes,Front & Rear,Yes,"2 years + 1 year (3rd year extended warranty up to 75,000km) or 2 years + 2 years (3rd and 4th year extended warranty up to 1,00,000 kms).",Yes,"Internal, With Remote",Analog,Manual,Analog + Digital,Yes,4.9 meter,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Front Row,2510,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2,Yes,Yes,No,No,Yes,No,Manual Adjustment,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,1
Maruti Suzuki,Ignis,Alpha 1.2 Amt,713898,1197,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,32,Petrol,1595,3700,1690,Hatchback,5,20.89 km/litre,23 km/litre,20.89 km/litre,5,180 mm,Ventilated Disc,Drum,McPherson Strut,Torsion Beam,175/65R 15,175/65R 15,Electric Power,All Windows,Remote,83PS@6000rpm,113Nm@4200RPM,Analog,Analog,Yes,Yes,5,Fabric,AMT,2435,175/65R 15,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,Yes,With Remote,260,Yes,Yes,Yes,Digital,Yes,No,Front & Rear,Yes,2 years /100000 Kms (years/distance whichever comes first),Yes,Internal,Analog,Manual,Analog,Yes,4.7 meter,Yes,Driver & Front Passenger,"Heater, Fully automatic climate control",No,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Second Row,2510,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2,Yes,Yes,No,No,Yes,No,Manual Adjustment,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,1
Maruti Suzuki,Ignis,Alpha 1.2 Mt,666898,1197,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,32,Petrol,1595,3700,1690,Hatchback,5,20.89 km/litre,23 km/litre,20.89 km/litre,5,180 mm,Ventilated Disc,Drum,McPherson Strut,Torsion Beam,175/65R 15,175/65R 15,Electric Power,All Windows,Remote,83PS@6000rpm,113Nm@4200RPM,Analog,Analog,Yes,Yes,5,Fabric,Manual,2435,175/65R 15,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,Yes,With Remote,260,Yes,Yes,Yes,Digital,Yes,No,Front & Rear,Yes,2 years /100000 Kms (years/distance whichever comes first),Yes,Internal,Analog,Manual,Analog,Yes,4.7 meter,Yes,Driver & Front Passenger,"Heater, Fully automatic climate control",No,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Second Row,2510,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2,Yes,Yes,No,No,Yes,No,Manual Adjustment,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,1
Renault,Triber,Rxz,663000,999,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,40,Petrol,1643,3990,1739,MUV,5,12 km/litre,23 km/litre,20.5 km/litre,5,182 mm,Ventilated Disc,Drum,McPherson Strut,Torison Beam,185/65 R15,185/65 R15,Electric Power,All Windows,Smart Key,72PS@62050rpm,96Nm@3500rpm,Digital,"Analog, Digital","Analog, Digital",2,7,Fabric,Manual,2636,185/65 R15,Yes,Yes,USB & Aux-in,Yes,No,2 years / Unlimited Kms,Yes,Manual,625,Yes,Yes,Yes,Digital,Front & Rear,No,Front,Yes,2 years /100000 Kms (years/distance whichever comes first),Yes,Internal,Digital,Manual,Analog + Digital,Yes,No,Yes,Driver & Front Passenger,Fully automatic climate control,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,All Rows,2510,"Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",Yes,Yes,No,No,4,No,Yes,Yes,Yes,Yes,No,Manual Adjustment,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,1
Premier,Rio,Glx,670000,1173,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,46,Petrol,1730,3970,1570,SUV,5,13 km/litre,16 km/litre,16 km/litre,5,200 mm,Ventilated Disc,Drum,McPherson strut & coil spring,5 rods system,205/70R15,205/70R15,Yes,Only Front Windows,Yes,76.6PS@5800rpm,103.9Nm@3500-4250rpm,Digital,Analog,Analog,Yes,5,Fabric,Manual,2420,205/70R15,No,No,CD/MP3 Player,Yes,No,2 years / Unlimited Kms,No,Manual,454,Yes,Yes,Yes,Digital,Yes,No,Front,Yes,2 years /100000 Kms (years/distance whichever comes first),Yes,Internal,Analog,Manual,Analog,Yes,4.7 meter,No,Driver Only,Manual Air conditioning with cooling and heating,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Front Row,1530,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,No,No,2,Yes,No,No,No,Yes,No,Manual Adjustment,No,No,No,No,No,No,No,No,No,No,No,No,1
Toyota,Etios Liva,G,520300,1197,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,45,Petrol,1510,3884,1695,Hatchback,5,15.1 km/litre,17.71 km/litre,18.16 km/litre,5,170 mm,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,175/65R14,175/65R14,Electric Power,All Windows,Remote,80PS@5600rpm,104Nm@3100rpm,Digital,Analog,Yes,Yes,5,Fabric,Manual,2460,175/65R14,No,Yes,Not on offer,Yes,No,3 years /100000 Kms (years/distance whichever comes first),No,Internal,251,No,No,Yes,Digital,Front,No,Front & Rear,Yes,2 years /100000 Kms (years/distance whichever comes first),No,With Remote,Digital,Manual,Analog + Digital,Yes,4.8 meter,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,All Rows,1475,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,No,2,Yes,No,No,No,No,No,Manual Adjustment,No,No,No,No,No,Yes,No,Yes,No,No,No,No,1
Toyota,Etios Liva,V,581000,1197,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,45,Petrol,1510,3884,1695,Hatchback,5,15.1 km/litre,18.16 km/litre,18.16 km/litre,5,170 mm,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,175/65R14,175/65R14,Electric Power,All Windows,Remote,80PS@5600rpm,104Nm@3100rpm,Digital,Analog,Digital,Yes,5,Fabric,Manual,2460,175/65R14,No,Yes,Not on offer,Yes,No,3 years /100000 Kms (years/distance whichever comes first),Yes,Internal,251,Yes,Yes,Yes,Digital,Front,No,Front & Rear,Yes,2 years /100000 Kms (years/distance whichever comes first),Yes,With Remote,Digital,Manual,Analog + Digital,Yes,4.8 meter,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,All Rows,1475,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,No,2,Yes,Yes,No,No,No,No,Manual Adjustment,No,No,No,No,No,Yes,No,Yes,No,No,No,No,1
